tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0035423,6.4,118,"Comedy,Fantasy,Romance",nm0003506,nm0000212
tt0118589,2.4,104,"Drama,Music,Romance",nm0193554,nm0001014
tt0118694,8.1,98,"Drama,Romance",nm0939182,nm0504897
tt0120202,6.7,105,"Comedy,Drama",nm0000519,nm0000450
tt0120630,7.1,84,"Adventure,Animation,Comedy","nm0520485,nm0661910",nm0000154
tt0120667,5.7,106,"Action,Adventure,Fantasy",nm1103162,nm0344435
tt0120679,7.3,123,"Biography,Drama,Romance",nm0853380,nm0000161
tt0120681,6.7,122,"Horror,Mystery,Thriller","nm0400436,nm0400441",nm0000136
tt0120737,8.8,178,"Action,Adventure,Drama",nm0001392,nm0000704
tt0120755,6.1,123,"Action,Adventure,Thriller",nm0000247,nm0000129
tt0120804,6.6,100,"Action,Horror,Sci-Fi",nm0027271,nm0000170
tt0120824,6.7,111,Drama,nm0002120,nm0000228
tt0120903,7.3,104,"Action,Adventure,Sci-Fi",nm0001741,nm0001772
tt0120912,6.2,88,"Action,Adventure,Comedy",nm0001756,nm0000169
tt0120913,6.6,94,"Action,Adventure,Animation","nm0089940,nm0325776",nm0000354
tt0120917,7.4,78,"Adventure,Animation,Comedy",nm0227540,nm0005450
tt0121164,7.3,77,"Animation,Drama,Family","nm0000318,nm0425843",nm0000136
tt0121765,6.6,142,"Action,Adventure,Fantasy",nm0000184,nm0159789
tt0121766,7.6,140,"Action,Adventure,Fantasy",nm0000184,nm0159789
tt0122459,6.9,115,"Comedy,Drama,Romance",nm0001372,nm0000141
tt0125022,6.2,123,"Comedy,Crime,Romance",nm0592400,nm0000244
tt0126029,7.9,90,"Adventure,Animation,Comedy","nm0421776,nm0011470",nm0000196
tt0130623,6.4,82,"Adventure,Animation,Drama","nm0500343,nm0957798",nm0000665
tt0131704,4.3,92,"Adventure,Animation,Comedy",nm0005197,nm0000134
tt0132245,4.6,116,"Action,Drama,Sport",nm0001317,nm0000230
tt0133152,5.7,119,"Action,Adventure,Sci-Fi",nm0000318,nm0000242
tt0133240,7.2,95,"Adventure,Animation,Family","nm0166256,nm0615780",nm0330687
tt0134084,5.6,116,"Horror,Mystery",nm0000127,nm0000274
tt0134847,7.1,109,"Action,Horror,Sci-Fi",nm0878638,nm0593664
tt0138524,6.3,100,"Comedy,Crime,Romance","nm0001054,nm0001053",nm0000123
tt0138749,6.9,89,"Adventure,Animation,Comedy","nm0005076,nm0074426,nm0666802",nm0000177
tt0138946,6.4,115,"Crime,Drama,Romance",nm0336695,nm0000242
tt0139654,7.7,122,"Action,Crime,Drama",nm0298807,nm0000243
tt0141926,6.6,116,"Action,War",nm0609236,nm0000190
tt0144084,7.6,102,"Crime,Drama,Horror",nm0366004,nm0000288
tt0144528,4.4,106,"Comedy,Romance,Sci-Fi",nm0781842,nm0000552
tt0144964,4.6,87,"Action,Adventure,Fantasy",nm0007439,nm0000483
tt0145487,7.4,121,"Action,Adventure,Sci-Fi",nm0000600,nm0001497
tt0146309,7.3,145,"Drama,History,Thriller",nm0002044,nm0000126
tt0146316,5.7,100,"Action,Adventure,Fantasy",nm0922346,nm0001401
tt0146882,7.4,113,"Comedy,Drama,Music",nm0001241,nm0000131
