tconst,averageRating,numVotes,runtimeMinutes,genres,directors,writers,actor
tt0035423,6.4,86345,118,"Comedy,Fantasy,Romance",nm0003506,"nm0737216,nm0003506",nm0000212
tt0118589,2.4,23726,104,"Drama,Music,Romance",nm0193554,"nm0921985,nm0486824",nm0001014
tt0118694,8.1,155077,98,"Drama,Romance",nm0939182,nm0939182,nm0504897
tt0120202,6.7,21643,105,"Comedy,Drama",nm0000519,nm0000519,nm0000450
tt0120630,7.1,197221,84,"Adventure,Animation,Comedy","nm0520485,nm0661910","nm0520485,nm0661910,nm0456732,nm0123666,nm0640976",nm0000154
tt0120667,5.7,334506,106,"Action,Adventure,Fantasy",nm1103162,"nm0004111,nm0289833,nm0498278,nm0456158",nm0344435
tt0120679,7.3,91852,123,"Biography,Drama,Romance",nm0853380,"nm0380419,nm0797397,nm1187860,nm0622695,nm0858482",nm0000161
tt0120681,6.7,158824,122,"Horror,Mystery,Thriller","nm0400436,nm0400441","nm0600872,nm0132427,nm0371249,nm0947913",nm0000136
tt0120737,8.8,1901793,178,"Action,Adventure,Drama",nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",nm0000704
tt0120755,6.1,350063,123,"Action,Adventure,Thriller",nm0000247,"nm0312367,nm0601822,nm0103804,nm0001801",nm0000129
tt0120804,6.6,276705,100,"Action,Horror,Sci-Fi",nm0027271,nm0027271,nm0000170
tt0120824,6.7,33377,111,Drama,nm0002120,"nm0698925,nm0414608",nm0000228
tt0120903,7.3,624038,104,"Action,Adventure,Sci-Fi",nm0001741,"nm0220892,nm0001741,nm0371684",nm0001772
tt0120912,6.2,383636,88,"Action,Adventure,Comedy",nm0001756,"nm0192384,nm0330565,nm0266673",nm0000169
tt0120913,6.6,62273,94,"Action,Adventure,Animation","nm0089940,nm0325776","nm0061829,nm0566595,nm0249421,nm0041864,nm0923736",nm0000354
tt0120917,7.4,210466,78,"Adventure,Animation,Comedy",nm0227540,"nm0930261,nm0227540,nm0721675,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559",nm0005450
tt0121164,7.3,281757,77,"Animation,Drama,Family","nm0000318,nm0425843","nm0000318,nm0335022,nm0041864,nm0003031,nm0972040",nm0000136
tt0121765,6.6,723252,142,"Action,Adventure,Fantasy",nm0000184,"nm0000184,nm0355054,nm1694619,nm2176955",nm0159789
tt0121766,7.6,804735,140,"Action,Adventure,Fantasy",nm0000184,"nm0000184,nm1694619,nm2176955",nm0159789
tt0122459,6.9,21727,115,"Comedy,Drama,Romance",nm0001372,"nm0001372,nm0482141,nm0827632,nm0329224",nm0000141
tt0125022,6.2,55958,123,"Comedy,Crime,Romance",nm0592400,"nm0242743,nm0345488,nm0563397",nm0000244
tt0126029,7.9,693230,90,"Adventure,Animation,Comedy","nm0421776,nm0011470","nm0825308,nm0254645,nm0744429,nm0830294,nm0776107,nm0970606,nm1844237,nm0970447",nm0000196
tt0130623,6.4,63259,82,"Adventure,Animation,Drama","nm0500343,nm0957798","nm0258059,nm0365666,nm0414608,nm0957798,nm0338396,nm0348356,nm0682473,nm0731271,nm1014201,nm1073262",nm0000665
tt0131704,4.3,20644,92,"Adventure,Animation,Comedy",nm0005197,"nm0911599,nm0518836",nm0000134
tt0132245,4.6,42017,116,"Action,Drama,Sport",nm0001317,"nm0804847,nm0845844,nm0000230",nm0000230
tt0133152,5.7,222726,119,"Action,Adventure,Sci-Fi",nm0000318,"nm0099541,nm0115310,nm0465199,nm0742797",nm0000242
tt0133240,7.2,123444,95,"Adventure,Animation,Family","nm0166256,nm0615780","nm0829044,nm0166256,nm0615780,nm0972395,nm0254645,nm0744429",nm0330687
tt0134084,5.6,151523,116,"Horror,Mystery",nm0000127,"nm0932078,nm0472567",nm0000274
tt0134847,7.1,244984,109,"Action,Horror,Sci-Fi",nm0878638,"nm0923646,nm0003117,nm0878638",nm0593664
tt0138524,6.3,99306,100,"Comedy,Crime,Romance","nm0001054,nm0001053","nm0709070,nm0832043,nm0738908,nm0001053,nm0001054",nm0000123
tt0138749,6.9,100254,89,"Adventure,Animation,Comedy","nm0005076,nm0074426,nm0666802","nm0254645,nm0744429,nm0456732,nm0493857",nm0000177
tt0138946,6.4,22063,115,"Crime,Drama,Romance",nm0336695,"nm0336695,nm0716257",nm0000242
tt0139654,7.7,446588,122,"Action,Crime,Drama",nm0298807,nm0043742,nm0000243
tt0141926,6.6,83762,116,"Action,War",nm0609236,"nm0609236,nm0599924,nm0043742",nm0000190
tt0144084,7.6,645098,102,"Crime,Drama,Horror",nm0366004,"nm0254735,nm0366004,nm0877587",nm0000288
tt0144528,4.4,51942,106,"Comedy,Romance,Sci-Fi",nm0781842,"nm0001471,nm0644203,nm0087904,nm0790775,nm0919369,nm0919363",nm0000552
tt0144964,4.6,20771,87,"Action,Adventure,Fantasy",nm0007439,"nm0927074,nm0077171,nm0395741,nm0659949,nm0812373",nm0000483
tt0145487,7.4,831394,121,"Action,Adventure,Sci-Fi",nm0000600,"nm0498278,nm0228492,nm0462895",nm0001497
tt0146309,7.3,60195,145,"Drama,History,Thriller",nm0002044,"nm0783100,nm0561943,nm0954546",nm0000126
tt0146316,5.7,212770,100,"Action,Adventure,Fantasy",nm0922346,"nm0153384,nm0108273,nm0171718,nm0922346,nm0557266,nm0957003",nm0001401
tt0146882,7.4,183416,113,"Comedy,Drama,Music",nm0001241,"nm0394984,nm0222584,nm0684336,nm0000131,nm0003298",nm0000131
